"support","attendance","denomination","friends","age","female"
0,2,"Protestant",0,28,0
0,1,"Protestant",0,25,1
0,4,"Catholic",1,67,0
0,2,"Jewish",1,57,0
0,2,"Protestant",1,41,1
0,4,"Protestant",1,57,0
0,4,"Protestant",0,26,1
1,1,"Other",1,37,0
0,2,"Protestant",0,21,1
0,0,"Catholic",0,43,1
0,4,"Protestant",1,32,0
0,3,"Protestant",0,66,1
1,4,"Protestant",1,56,1
1,0,"Other",0,37,1
0,3,"Catholic",1,51,0
0,2,"Catholic",1,30,1
0,3,"Catholic",0,50,0
0,4,"Catholic",0,50,1
0,4,"Catholic",0,84,1
0,0,"Protestant",0,52,1
0,3,"Catholic",0,57,1
0,4,"Protestant",0,24,0
0,0,"Protestant",0,70,1
0,0,"Other",0,28,0
0,1,"Protestant",0,59,1
1,2,"Protestant",0,36,1
1,1,"Protestant",0,55,1
0,2,"Protestant",0,62,0
0,4,"Catholic",1,22,1
1,3,"Protestant",1,47,0
0,4,"Protestant",0,78,1
1,1,"Protestant",0,37,0
0,2,"Protestant",1,26,0
0,0,"Protestant",0,51,1
1,1,"Protestant",0,38,1
0,1,"Catholic",0,70,0
1,2,"Other",0,21,0
0,4,"Catholic",1,47,1
0,0,"Catholic",1,32,0
1,0,"Catholic",1,33,0
1,2,"Protestant",0,44,0
1,1,"Catholic",0,32,1
0,0,"Protestant",1,37,0
0,3,"Other",1,49,0
0,4,"Catholic",0,43,0
0,0,"Catholic",0,56,1
1,1,"Jewish",1,54,0
1,0,"Catholic",1,45,1
1,1,"Catholic",1,47,1
0,2,"Other",1,44,1
0,0,"Catholic",0,60,0
0,4,"Protestant",0,72,0
0,0,"Protestant",1,63,1
0,0,"Catholic",0,54,1
0,0,"Catholic",1,25,0
1,1,"Catholic",0,50,1
0,0,"Protestant",1,73,1
0,0,"Catholic",0,37,0
1,3,"Protestant",0,52,0
0,2,"Other",0,36,0
1,1,"Catholic",1,22,1
0,4,"Other",1,49,0
0,3,"Other",0,50,0
1,2,"Catholic",0,27,0
1,2,"Protestant",1,58,1
1,2,"Other",1,19,1
0,1,"Other",0,50,0
1,0,"Other",1,22,1
1,3,"Other",1,56,1
1,3,"Catholic",1,66,1
1,3,"Catholic",1,52,0
0,4,"Catholic",0,79,0
1,4,"Catholic",1,26,1
0,4,"Catholic",1,67,0
0,0,"Catholic",0,60,1
1,0,"Catholic",1,28,1
0,2,"Catholic",1,34,0
0,4,"Catholic",1,54,0
0,0,"Protestant",0,60,1
0,2,"Other",1,28,1
0,0,"Other",0,62,1
1,2,"Catholic",0,52,0
0,4,"Catholic",1,59,1
0,4,"Protestant",0,63,1
0,0,"Other",0,33,0
0,4,"Protestant",1,35,0
0,0,"Other",1,40,0
0,2,"Catholic",0,75,0
0,4,"Catholic",1,80,1
1,0,"Catholic",1,49,0
0,2,"Other",1,39,1
0,2,"Catholic",0,72,1
0,4,"Protestant",0,58,0
0,4,"Other",1,57,1
1,2,"Catholic",1,27,0
0,0,"Protestant",0,69,1
0,4,"Protestant",1,78,0
0,2,"Catholic",1,18,0
1,3,"Catholic",1,44,1
0,4,"Other",0,58,1
0,4,"Catholic",0,75,0
1,0,"Other",1,32,1
1,2,"Other",0,42,0
1,4,"Other",1,29,0
0,2,"Catholic",1,21,1
0,0,"Catholic",1,44,0
1,4,"Other",0,74,1
0,4,"Catholic",0,45,0
0,3,"Catholic",1,24,1
0,1,"Protestant",1,50,0
0,3,"Catholic",1,53,1
1,2,"Other",0,61,1
0,4,"Other",1,22,0
0,3,"Other",0,21,0
1,1,"Protestant",1,51,1
1,0,"Protestant",1,62,0
1,0,"Other",1,52,1
0,0,"Protestant",0,54,0
1,1,"Catholic",1,26,0
0,3,"Protestant",0,55,0
1,0,"Catholic",1,22,1
0,4,"Protestant",0,21,0
0,3,"Catholic",1,57,1
1,3,"Catholic",1,40,1
1,1,"Other",1,46,1
0,4,"Protestant",1,65,1
0,1,"Protestant",1,54,1
0,0,"Other",0,52,1
1,1,"Catholic",1,43,1
0,1,"Protestant",0,66,1
0,2,"Catholic",0,26,1
0,2,"Catholic",1,53,1
0,0,"Catholic",0,67,1
0,1,"Catholic",0,57,0
0,4,"Jewish",0,63,0
0,2,"Catholic",0,48,0
1,0,"Catholic",1,46,1
0,2,"Other",0,40,1
0,1,"Other",1,28,1
1,2,"Catholic",1,46,0
0,0,"Other",1,49,1
0,4,"Other",0,89,0
1,3,"Protestant",1,39,0
1,2,"Catholic",1,32,0
1,4,"Catholic",0,44,0
0,0,"Catholic",1,25,0
0,4,"Catholic",0,53,1
1,0,"Catholic",1,22,0
0,0,"Catholic",1,43,0
1,1,"Other",1,40,1
1,4,"Protestant",1,23,1
1,0,"Catholic",0,21,1
1,3,"Catholic",1,42,1
0,4,"Catholic",0,84,1
0,0,"Catholic",0,61,1
1,1,"Catholic",1,52,1
1,4,"Protestant",1,41,1
0,4,"Protestant",1,59,1
0,4,"Other",0,42,1
0,0,"Other",0,24,0
1,1,"Jewish",1,64,0
1,2,"Protestant",1,47,1
0,1,"Other",0,64,0
0,0,"Catholic",0,68,0
1,2,"Catholic",1,39,0
0,0,"Protestant",0,75,0
1,1,"Other",0,40,0
0,4,"Protestant",0,79,0
0,4,"Catholic",0,45,1
1,2,"Other",1,36,1
0,4,"Other",0,61,0
0,0,"Other",0,68,1
1,0,"Catholic",1,53,1
0,0,"Protestant",0,55,0
1,1,"Other",1,43,0
0,1,"Other",1,42,1
0,0,"Protestant",0,59,1
0,0,"Protestant",1,80,0
1,0,"Other",1,38,1
1,0,"Other",1,35,1
1,4,"Protestant",1,27,0
1,1,"Other",1,40,0
0,2,"Other",1,47,1
1,1,"Protestant",1,41,1
0,1,"Other",1,38,1
0,1,"Other",1,38,0
1,0,"Catholic",1,43,0
1,0,"Protestant",1,83,1
1,1,"Protestant",0,24,0
0,4,"Catholic",0,62,1
1,2,"Protestant",1,39,0
1,2,"Catholic",1,50,0
0,3,"Jewish",0,38,1
0,1,"Other",0,47,0
1,3,"Catholic",0,20,1
1,0,"Catholic",1,26,1
1,0,"Protestant",0,42,1
0,2,"Other",0,45,0
0,4,"Other",0,57,0
1,3,"Other",1,48,1
0,2,"Catholic",1,52,0
1,0,"Catholic",1,29,0
0,0,"Other",1,50,0
1,4,"Protestant",1,54,1
1,2,"Other",0,38,0
0,3,"Protestant",1,32,1
0,1,"Protestant",0,61,0
1,2,"Protestant",1,50,0
1,2,"Catholic",0,30,1
0,1,"Other",0,46,0
1,3,"Catholic",0,45,1
0,1,"Catholic",0,52,0
1,2,"Catholic",1,29,1
0,4,"Catholic",1,78,1
1,1,"Catholic",1,50,1
0,3,"Other",0,30,1
0,2,"Other",1,40,1
0,1,"Other",1,55,1
0,4,"Catholic",0,53,1
0,0,"Other",0,55,1
1,0,"Protestant",0,46,1
0,2,"Other",1,60,0
0,0,"Protestant",0,37,1
0,0,"Protestant",1,48,0
1,2,"Other",1,50,1
0,4,"Protestant",1,53,1
1,2,"Other",0,35,1
0,4,"Other",0,52,1
0,0,"Protestant",1,71,1
0,4,"Protestant",0,52,1
1,2,"Other",1,29,1
0,2,"Other",1,49,0
0,3,"Catholic",0,42,0
1,4,"Other",1,32,1
0,4,"Other",0,36,1
0,2,"Protestant",1,66,1
0,0,"Protestant",1,37,1
0,0,"Protestant",0,63,0
0,4,"Other",0,39,0
0,4,"Protestant",0,65,1
0,4,"Protestant",0,54,1
0,4,"Protestant",0,75,0
0,0,"Other",1,58,0
0,1,"Other",1,48,1
0,4,"Other",0,18,1
0,0,"Other",0,41,0
0,3,"Protestant",1,68,0
0,4,"Protestant",0,70,0
0,4,"Protestant",1,67,1
0,4,"Protestant",1,47,1
0,2,"Protestant",0,65,1
1,4,"Other",1,48,1
0,4,"Other",1,41,1
0,1,"Other",0,35,0
0,0,"Catholic",0,67,1
1,2,"Other",0,57,1
0,2,"Other",0,46,1
0,2,"Protestant",0,71,1
0,1,"Other",0,49,1
1,4,"Catholic",0,68,1
0,2,"Other",1,32,0
0,1,"Catholic",0,77,0
1,2,"Other",0,30,0
0,2,"Other",0,41,0
0,1,"Catholic",1,31,0
1,0,"Catholic",0,86,0
0,0,"Other",1,46,0
1,4,"Protestant",1,27,1
1,2,"Protestant",1,70,1
0,4,"Protestant",1,76,0
0,1,"Protestant",0,54,1
1,1,"Other",1,47,1
1,0,"Other",1,22,0
0,0,"Protestant",1,57,1
0,2,"Other",1,27,0
0,4,"Other",0,61,1
0,4,"Other",1,68,1
0,3,"Other",0,20,0
0,4,"Other",1,55,1
1,0,"Catholic",1,20,0
0,4,"Other",0,62,1
0,4,"Other",0,79,1
0,2,"Other",0,20,0
0,2,"Other",1,25,0
0,2,"Protestant",0,75,1
0,4,"Other",1,21,0
0,2,"Other",0,46,0
0,4,"Other",0,78,1
0,4,"Protestant",0,71,0
0,4,"Other",1,48,1
0,1,"Other",1,78,1
0,0,"Catholic",0,38,0
0,1,"Other",1,46,1
0,2,"Protestant",1,47,1
1,2,"Protestant",1,19,1
0,3,"Catholic",1,57,1
0,4,"Other",0,56,0
0,4,"Protestant",0,34,1
1,4,"Protestant",0,32,0
1,1,"Catholic",1,51,0
0,4,"Protestant",1,71,1
0,4,"Protestant",0,64,1
0,0,"Other",1,42,1
0,4,"Other",0,50,0
0,2,"Protestant",1,29,1
1,1,"Jewish",1,25,1
0,4,"Other",1,49,1
0,0,"Protestant",0,21,0
0,1,"Other",0,85,1
0,2,"Protestant",0,51,0
0,1,"Catholic",1,65,1
0,2,"Other",0,56,1
1,3,"Catholic",1,29,1
1,4,"Catholic",0,44,1
0,4,"Protestant",1,62,0
0,0,"Catholic",1,51,0
1,0,"Catholic",0,66,1
1,0,"Catholic",1,73,0
0,0,"Protestant",0,62,0
1,1,"Catholic",1,47,1
1,4,"Catholic",1,53,1
0,0,"Catholic",0,18,0
1,0,"Catholic",1,73,1
1,1,"Other",0,32,1
1,3,"Protestant",1,31,0
0,3,"Protestant",0,80,1
0,0,"Protestant",0,30,0
0,0,"Protestant",0,23,1
1,0,"Other",1,34,1
0,0,"Protestant",0,44,1
0,2,"Protestant",1,26,0
0,4,"Protestant",0,65,1
0,4,"Protestant",1,83,1
0,4,"Catholic",0,82,1
0,4,"Protestant",0,73,1
1,0,"Protestant",1,53,1
1,3,"Catholic",0,30,0
0,4,"Protestant",1,45,1
0,0,"Protestant",1,42,0
1,3,"Protestant",0,86,1
1,2,"Other",1,46,0
0,4,"Protestant",0,72,0
1,2,"Other",1,28,1
1,1,"Protestant",1,72,0
0,3,"Other",1,57,1
0,4,"Other",0,58,0
1,2,"Other",1,32,1
0,1,"Other",0,56,1
0,1,"Other",0,32,1
0,3,"Other",0,50,0
0,2,"Other",0,41,1
1,0,"Other",0,30,1
1,0,"Catholic",1,42,1
1,0,"Catholic",0,47,0
1,2,"Other",1,24,0
0,2,"Catholic",0,67,0
0,1,"Catholic",1,48,0
0,0,"Protestant",1,64,1
1,1,"Catholic",1,18,1
1,2,"Other",1,34,1
0,3,"Other",0,28,1
0,4,"Other",1,53,0
0,4,"Protestant",0,42,1
0,0,"Protestant",1,38,1
0,4,"Other",0,28,0
0,0,"Other",1,60,1
0,4,"Protestant",1,73,1
0,3,"Protestant",0,34,1
0,4,"Protestant",0,46,1
0,3,"Protestant",0,53,1
0,4,"Protestant",1,66,1
0,4,"Protestant",0,55,1
1,3,"Protestant",1,39,1
1,4,"Protestant",0,36,1
0,2,"Protestant",1,35,1
0,4,"Protestant",0,61,0
1,1,"Protestant",0,30,0
0,4,"Protestant",0,37,1
0,4,"Protestant",0,52,1
1,3,"Catholic",1,90,1
0,4,"Protestant",0,47,1
1,0,"Protestant",0,27,1
1,1,"Protestant",1,30,0
1,1,"Protestant",1,25,1
1,2,"Protestant",0,21,1
0,4,"Protestant",1,46,0
0,0,"Protestant",0,57,0
0,1,"Protestant",0,34,0
0,0,"Protestant",0,31,1
0,3,"Other",0,66,1
0,1,"Protestant",0,36,1
0,4,"Protestant",0,74,1
1,2,"Protestant",0,62,1
0,2,"Protestant",0,52,1
0,4,"Protestant",0,74,1
1,4,"Protestant",1,55,1
0,4,"Protestant",1,58,1
0,3,"Protestant",1,66,0
0,2,"Protestant",1,55,0
0,1,"Protestant",1,78,0
0,4,"Other",0,64,1
0,4,"Protestant",1,61,1
0,1,"Other",1,59,1
0,4,"Other",0,70,0
0,2,"Other",1,31,1
0,4,"Other",1,51,1
1,0,"Other",0,49,0
0,2,"Other",1,30,1
0,0,"Protestant",1,57,0
0,2,"Other",0,57,1
0,4,"Other",0,53,1
1,1,"Other",0,40,1
1,4,"Other",1,20,1
0,4,"Other",0,49,1
1,3,"Other",1,21,1
0,2,"Other",0,43,0
1,2,"Other",1,56,1
0,2,"Protestant",1,55,0
0,4,"Protestant",0,53,1
1,2,"Other",0,20,1
0,3,"Other",0,52,1
1,3,"Protestant",0,19,0
0,4,"Catholic",0,76,1
1,2,"Protestant",1,44,1
0,2,"Other",0,45,0
0,4,"Protestant",0,51,1
0,2,"Protestant",0,65,1
0,4,"Other",0,33,1
0,4,"Other",0,51,1
0,2,"Other",1,52,1
0,2,"Other",0,33,1
1,4,"Protestant",0,44,1
0,3,"Protestant",0,36,1
0,4,"Other",0,56,0
0,2,"Other",0,26,1
0,1,"Protestant",0,31,0
1,2,"Other",1,27,1
1,1,"Protestant",0,68,1
1,1,"Protestant",0,27,1
0,1,"Protestant",0,38,1
0,4,"Other",1,41,1
1,1,"Protestant",0,37,1
0,4,"Protestant",0,26,1
0,4,"Other",1,67,1
1,4,"Other",1,37,1
0,2,"Protestant",0,36,0
0,4,"Protestant",0,61,0
0,2,"Protestant",1,71,1
1,0,"Other",1,24,1
0,3,"Other",1,28,0
0,2,"Other",0,43,1
0,2,"Catholic",0,24,0
0,1,"Other",1,51,1
0,0,"Other",0,46,0
1,0,"Protestant",0,62,1
0,4,"Protestant",0,69,0
0,3,"Protestant",0,69,0
0,3,"Protestant",1,48,0
0,4,"Protestant",1,71,1
0,2,"Protestant",0,50,0
0,2,"Protestant",0,36,1
0,4,"Protestant",0,39,1
0,3,"Protestant",0,42,0
0,4,"Protestant",0,82,1
0,3,"Other",0,57,1
0,4,"Protestant",0,48,1
0,3,"Protestant",1,39,1
0,4,"Catholic",1,25,1
0,3,"Protestant",0,81,0
0,4,"Protestant",0,46,1
1,4,"Protestant",1,75,1
0,0,"Catholic",0,50,0
0,2,"Protestant",1,45,1
0,4,"Other",1,72,0
1,3,"Protestant",1,36,0
1,1,"Protestant",1,62,1
0,1,"Protestant",0,51,1
0,1,"Catholic",0,47,1
0,4,"Catholic",0,34,1
1,0,"Catholic",1,31,0
1,1,"Catholic",1,45,0
0,2,"Protestant",0,40,0
0,1,"Catholic",1,29,1
0,4,"Catholic",0,28,1
0,2,"Catholic",1,54,1
0,3,"Catholic",1,46,0
0,4,"Catholic",1,63,1
0,4,"Catholic",0,54,1
1,1,"Other",1,46,1
1,1,"Catholic",1,22,1
0,2,"Catholic",0,73,1
1,4,"Catholic",1,54,1
1,2,"Catholic",0,44,1
1,1,"Catholic",1,28,1
1,1,"Other",1,48,1
0,0,"Catholic",1,56,0
0,4,"Protestant",0,84,1
1,2,"Other",1,53,1
1,2,"Other",0,49,0
1,2,"Other",0,37,0
0,3,"Catholic",1,32,1
0,4,"Other",0,36,1
0,4,"Protestant",1,55,1
1,0,"Catholic",1,68,1
1,0,"Catholic",1,52,1
0,2,"Catholic",1,32,0
1,2,"Catholic",1,38,1
0,4,"Other",0,78,1
0,0,"Catholic",0,52,1
1,2,"Protestant",1,44,0
0,4,"Catholic",0,64,0
0,1,"Other",0,32,1
0,2,"Other",1,40,0
0,4,"Catholic",0,70,1
0,3,"Catholic",1,46,1
0,4,"Catholic",1,54,1
0,4,"Other",0,23,0
1,0,"Protestant",0,49,0
0,4,"Catholic",1,36,1
0,2,"Catholic",1,38,1
0,4,"Catholic",1,69,0
0,1,"Catholic",0,52,1
1,2,"Catholic",1,29,1
1,2,"Catholic",0,30,1
0,3,"Protestant",1,31,1
0,0,"Protestant",0,60,0
0,4,"Other",1,40,1
0,4,"Other",1,26,0
0,3,"Other",0,42,0
0,4,"Other",1,31,1
1,0,"Protestant",1,27,0
0,4,"Catholic",1,41,0
0,3,"Protestant",1,40,1
0,0,"Protestant",1,70,0
0,3,"Other",0,63,1
1,0,"Other",0,53,1
0,1,"Other",1,23,1
1,2,"Other",0,44,1
1,3,"Protestant",1,26,1
1,0,"Protestant",1,47,1
1,1,"Protestant",0,35,0
0,2,"Protestant",1,48,1
1,0,"Other",0,54,0
0,4,"Catholic",0,38,1
1,4,"Catholic",1,34,1
0,0,"Other",1,20,1
1,2,"Catholic",0,22,1
0,3,"Catholic",1,30,1
0,1,"Other",0,64,1
0,1,"Catholic",1,37,0
0,2,"Protestant",0,54,1
1,0,"Other",1,33,1
0,4,"Protestant",0,28,0
0,0,"Catholic",0,35,0
0,0,"Protestant",0,26,0
0,1,"Other",1,38,1
1,0,"Other",1,37,1
1,0,"Other",0,28,1
0,2,"Catholic",1,38,0
0,4,"Protestant",1,67,1
0,3,"Protestant",1,40,1
1,0,"Other",0,24,1
1,1,"Other",1,35,0
1,0,"Catholic",0,63,0
0,3,"Catholic",0,34,0
1,1,"Protestant",1,24,1
0,4,"Other",0,41,1
0,1,"Catholic",0,35,0
0,4,"Other",1,46,0
1,0,"Catholic",0,25,0
0,0,"Catholic",1,52,0
1,4,"Other",0,85,0
0,2,"Other",0,48,1
0,3,"Other",0,38,0
0,2,"Catholic",1,36,0
1,1,"Other",1,46,1
0,4,"Protestant",0,51,0
1,2,"Catholic",0,54,1
1,0,"Catholic",0,67,1
0,4,"Catholic",0,81,1
1,3,"Catholic",1,19,0
0,4,"Catholic",1,65,1
0,2,"Other",0,44,0
0,0,"Catholic",1,57,1
1,2,"Other",1,33,1
0,4,"Catholic",1,60,1
0,2,"Other",0,43,1
0,4,"Catholic",1,64,1
0,1,"Other",0,28,1
0,4,"Catholic",0,79,0
0,2,"Catholic",0,44,1
1,4,"Catholic",0,69,1
1,4,"Protestant",1,40,1
1,4,"Catholic",1,28,1
0,4,"Catholic",0,64,1
1,0,"Other",1,34,1
0,3,"Catholic",1,22,0
1,2,"Other",1,38,1
1,0,"Catholic",1,67,1
1,2,"Other",1,38,0
0,2,"Catholic",1,30,0
1,4,"Other",1,27,1
0,2,"Other",0,42,1
1,1,"Other",1,66,0
1,2,"Catholic",1,35,0
1,2,"Catholic",1,20,1
1,4,"Other",1,33,1
0,4,"Catholic",0,49,1
0,0,"Catholic",1,34,0
0,0,"Catholic",1,46,1
1,1,"Other",1,30,1
0,0,"Catholic",1,36,0
1,2,"Catholic",1,32,0
1,2,"Catholic",1,41,1
0,4,"Other",1,56,0
0,4,"Protestant",0,68,1
1,0,"Protestant",1,79,1
0,3,"Catholic",0,45,1
0,3,"Other",1,57,0
1,4,"Other",1,19,1
1,2,"Other",0,34,0
0,4,"Catholic",1,66,1
1,0,"Protestant",1,31,0
0,2,"Other",0,44,1
0,2,"Protestant",1,19,1
0,4,"Other",0,19,1
0,4,"Other",1,51,1
0,4,"Other",1,35,1
1,0,"Other",0,31,0
0,4,"Other",0,61,1
0,4,"Other",1,46,1
0,1,"Catholic",1,39,0
0,1,"Other",1,41,1
0,2,"Other",0,33,0
0,4,"Catholic",1,79,1
1,4,"Protestant",1,47,0
0,1,"Catholic",1,40,1
1,0,"Catholic",0,36,1
0,0,"Catholic",0,34,1
0,0,"Catholic",1,28,1
0,2,"Other",0,29,0
1,2,"Catholic",1,33,1
0,0,"Other",0,48,0
1,2,"Catholic",1,39,1
0,4,"Protestant",0,36,1
0,3,"Catholic",1,51,0
0,2,"Catholic",0,61,0
1,1,"Catholic",0,31,0
0,3,"Catholic",0,37,1
0,0,"Other",1,30,1
0,2,"Catholic",1,42,0
1,4,"Catholic",1,43,1
0,1,"Other",1,21,0
0,4,"Other",0,54,1
1,2,"Catholic",1,38,1
1,2,"Catholic",1,26,1
0,4,"Other",0,44,0
0,4,"Catholic",0,50,1
0,2,"Catholic",1,33,0
0,1,"Other",0,57,0
0,2,"Catholic",0,23,1
0,4,"Protestant",1,67,1
0,4,"Catholic",0,79,1
0,2,"Catholic",1,35,1
0,2,"Catholic",1,42,1
0,4,"Protestant",1,37,0
0,4,"Catholic",1,62,0
0,4,"Catholic",0,51,1
0,2,"Catholic",0,36,1
1,0,"Catholic",1,70,0
0,2,"Catholic",0,35,1
0,4,"Protestant",1,66,1
1,1,"Catholic",0,47,1
0,4,"Other",0,31,0
1,0,"Catholic",1,33,1
0,4,"Catholic",1,58,1
1,4,"Other",0,37,1
1,2,"Catholic",0,53,0
0,0,"Catholic",1,30,0
1,0,"Catholic",0,26,1
1,2,"Other",0,28,0
0,0,"Catholic",0,49,0
0,0,"Catholic",1,82,0
0,1,"Catholic",0,40,0
0,1,"Catholic",1,51,1
1,1,"Catholic",0,52,0
0,4,"Catholic",1,44,1
1,0,"Catholic",1,21,0
0,4,"Catholic",0,43,1
0,4,"Other",0,62,1
1,3,"Protestant",1,18,0
1,1,"Catholic",1,62,0
0,0,"Catholic",1,24,1
0,4,"Catholic",1,71,0
0,3,"Catholic",1,18,0
1,4,"Catholic",1,18,1
0,3,"Catholic",0,65,0
1,3,"Catholic",1,37,1
0,3,"Catholic",0,59,1
1,4,"Other",1,42,1
0,3,"Catholic",0,40,0
1,0,"Catholic",0,39,1
0,3,"Catholic",1,55,1
0,0,"Catholic",0,82,1
1,2,"Catholic",0,69,1
0,4,"Catholic",0,67,0
0,2,"Catholic",0,26,0
0,0,"Catholic",0,22,1
0,1,"Catholic",1,37,0
1,3,"Catholic",1,33,1
0,1,"Protestant",1,77,0
0,4,"Other",1,20,1
1,2,"Other",1,30,1
1,1,"Catholic",0,28,0
1,2,"Other",1,33,1
0,4,"Protestant",1,38,0
1,4,"Other",1,53,1
0,4,"Protestant",1,59,1
1,3,"Other",1,48,1
0,4,"Other",1,36,1
1,2,"Catholic",0,25,0
0,2,"Other",1,42,1
0,4,"Other",1,47,0
0,2,"Other",1,48,1
0,4,"Other",0,52,1
1,2,"Other",1,61,1
0,4,"Other",0,56,0
0,1,"Other",0,60,1
1,0,"Other",0,32,1
0,4,"Protestant",0,77,1
0,3,"Other",0,52,1
1,0,"Other",1,46,1
0,2,"Catholic",0,22,1
1,1,"Other",1,21,1
1,1,"Catholic",1,26,1
1,4,"Other",1,64,1
0,2,"Protestant",1,56,1
1,4,"Other",0,23,1
1,4,"Protestant",1,32,0
1,0,"Other",1,29,1
1,1,"Protestant",1,48,0
1,0,"Jewish",1,28,1
0,1,"Catholic",0,26,0
1,3,"Protestant",1,31,1
1,0,"Catholic",0,64,1
0,4,"Catholic",0,39,0
1,0,"Other",1,40,1
1,3,"Protestant",1,60,0
0,1,"Other",1,62,1
0,4,"Catholic",0,56,1
1,0,"Other",0,51,0
0,3,"Other",0,50,1
0,4,"Other",0,41,0
1,1,"Other",1,59,0
0,4,"Protestant",0,77,1
1,3,"Protestant",0,74,1
0,4,"Protestant",0,67,1
0,1,"Other",1,37,0
1,2,"Catholic",0,68,0
0,2,"Catholic",1,22,0
1,3,"Catholic",1,76,1
1,2,"Catholic",1,46,1
0,3,"Catholic",1,23,0
0,2,"Protestant",1,69,1
0,2,"Protestant",0,59,0
0,0,"Other",0,58,1
1,2,"Other",0,48,0
0,4,"Protestant",1,42,1
0,1,"Other",1,42,0
0,4,"Other",0,60,0
0,4,"Protestant",0,89,0
1,4,"Protestant",1,57,0
0,0,"Other",1,22,1
0,3,"Protestant",0,67,1
0,2,"Other",0,40,0
1,2,"Protestant",0,64,0
0,4,"Protestant",0,85,1
0,3,"Protestant",1,50,0
0,0,"Other",1,43,1
0,4,"Protestant",0,79,0
1,2,"Protestant",0,25,0
0,4,"Protestant",1,61,1
0,1,"Other",0,50,0
0,2,"Protestant",1,27,1
0,3,"Protestant",1,37,0
1,2,"Protestant",0,29,1
1,3,"Other",1,59,0
0,0,"Other",0,27,0
0,4,"Catholic",1,63,0
0,1,"Other",0,40,1
1,0,"Catholic",1,54,1
0,4,"Protestant",1,39,1
0,2,"Other",1,32,1
1,2,"Other",1,49,1
0,4,"Other",0,34,0
0,0,"Other",1,43,1
1,2,"Other",1,53,0
1,1,"Other",1,44,0
1,2,"Other",1,21,1
1,2,"Other",0,18,1
0,4,"Other",0,65,1
0,0,"Protestant",1,30,0
1,1,"Other",0,62,1
0,0,"Protestant",1,23,0
0,4,"Catholic",0,79,1
1,0,"Catholic",1,55,1
0,4,"Catholic",1,49,0
0,2,"Other",1,30,0
1,3,"Catholic",0,23,1
0,4,"Other",0,26,0
0,2,"Protestant",1,24,1
0,4,"Protestant",1,80,0
0,4,"Protestant",0,74,1
0,4,"Protestant",0,80,0
1,1,"Catholic",1,19,1
1,2,"Protestant",1,31,1
1,1,"Other",0,49,1
1,0,"Protestant",0,70,1
1,2,"Other",1,88,0
0,2,"Other",1,18,0
0,4,"Catholic",1,69,1
0,4,"Catholic",0,68,0
0,0,"Catholic",0,34,1
0,4,"Protestant",0,64,0
